TON,TOFF,SV,IP,WF,DE,NSR,ASR,SSR,OSR,SF,MO,RUL

105,30,30,40,3,1614,0.11,0.01,0.83,0.05,75000,WB,2.66
105,30,50,40,3,508,0.29,0.07,0.35,0.29,31000,NM,-
105,40,30,40,3,544,0.42,0.05,0.38,0.15,12000,NM,-
105,40,50,40,3,560,0.12,0,0.4,0.48,26000,NM,-
105,50,30,40,3,549,0.28,0,0.42,0.3,28500,NM,-
105,50,50,40,3,583,0.07,0,0.36,0.57,14000,NM,-
110,30,30,40,3,1044,0.24,0.06,0.38,0.32,56500,WB,0.32
110,30,50,40,3,1066,0.28,0.03,0.41,0.28,45000,WB,2.08
110,40,30,40,3,1034,0.27,0.02,0.31,0.4,22500,NM,-
110,40,50,40,3,987,0.17,0.02,0.52,0.29,69000,WB,3.11
110,50,30,40,3,1124,0.46,0.03,0.38,0.13,16000,NM,-
110,50,50,40,3,1002,0.15,0.02,0.51,0.32,50500,WB,5.95
115,30,30,40,3,1477,0.15,0.05,0.54,0.26,82500,WB,0.58
115,30,50,40,3,1596,0.6,0,0.11,0.29,9000,NM,-
115,40,30,40,3,1485,0.15,0.22,0.53,0.1,65500,WB,2.67
115,40,50,40,3,1646,0.59,0,0.17,0.24,11500,NM,-
115,50,30,40,3,1618,0.51,0,0.17,0.32,11500,NM,-
115,50,50,40,3,1659,0.7,0,0.2,0.1,5000,NM,-
105,30,30,10,3,157,0.59,0.07,0.23,0.11,25000,NM,-
105,30,50,10,3,77,0.32,0.04,0.33,0.31,24500,NM,-
105,40,30,10,3,135,0.42,0.03,0.24,0.31,34000,NM,-
105,40,50,10,3,48,0.3,0.08,0.04,0.58,12000,SA,0.7
105,50,30,10,3,32,0.66,0.03,0,0.31,13500,SA,0.7
105,50,50,10,3,43,0.17,0.08,0.31,0.44,19500,SA,0.3
110,30,30,10,3,141,0.39,0,0.38,0.23,6500,NM,-
110,30,50,10,3,145,0.22,0.14,0.34,0.3,39500,NM,-
110,40,30,10,3,239,0.39,0.06,0.39,0.16,13500,NM,-
110,40,50,10,3,123,0.34,0.04,0.37,0.25,37500,NM,-
110,50,30,10,3,253,0.21,0.05,0.36,0.38,21000,NM,-
110,50,50,10,3,43,0.1,0,0.45,0.45,14500,SA,0.5
